id,text,word_count,avg_word_length,sentence_count,complexity_score,target
1,The story is engaging and suitable for young readers. Sample 1,77,3.63,9,0.245,-1.884
2,This passage is easy to read and understand. Sample 2,299,3.93,14,0.032,-2.25
3,The document contains moderately complex vocabulary. Sample 3,278,6.51,18,0.199,2.199
4,The research manuscript presents sophisticated theoretical arguments. Sample 4,234,4.6,19,0.278,3.954
5,The document contains moderately complex vocabulary. Sample 5,236,5.2,5,0.215,3.108
6,This passage is easy to read and understand. Sample 6,67,5.4,12,0.847,1.83
7,This passage is easy to read and understand. Sample 7,255,6.18,13,0.079,-0.655
8,The story is engaging and suitable for young readers. Sample 8,205,6.39,3,0.046,-1.177
9,The article uses highly technical terminology and advanced concepts. Sample 9,60,7.78,4,0.38,0.627
10,The article uses highly technical terminology and advanced concepts. Sample 10,103,5.35,7,0.67,2.615
11,The story is engaging and suitable for young readers. Sample 11,56,6.55,6,0.534,-1.042
12,The tutorial is beginner friendly and clearly written. Sample 12,214,4.85,18,0.22,-0.406
13,This passage is easy to read and understand. Sample 13,137,7.61,11,0.401,-2.47
14,The research manuscript presents sophisticated theoretical arguments. Sample 14,181,4.56,16,0.396,4.316
15,The tutorial is beginner friendly and clearly written. Sample 15,93,4.82,8,0.745,1.312
16,The story is engaging and suitable for young readers. Sample 16,239,7.99,13,0.362,4.979
17,The document contains moderately complex vocabulary. Sample 17,280,5.97,2,0.861,-1.777
18,The document contains moderately complex vocabulary. Sample 18,236,6.48,13,0.382,4.969
19,The research manuscript presents sophisticated theoretical arguments. Sample 19,148,8.36,1,0.68,-2.084
20,The research manuscript presents sophisticated theoretical arguments. Sample 20,156,7.34,11,0.112,0.478
21,The tutorial is beginner friendly and clearly written. Sample 21,21,8.27,9,0.972,3.096
22,The research manuscript presents sophisticated theoretical arguments. Sample 22,74,7.85,10,0.842,1.061
23,The document contains moderately complex vocabulary. Sample 23,98,5.37,6,0.539,3.229
24,The research manuscript presents sophisticated theoretical arguments. Sample 24,20,6.49,16,0.019,4.433
25,The article uses highly technical terminology and advanced concepts. Sample 25,142,3.79,19,0.947,-2.315
26,The tutorial is beginner friendly and clearly written. Sample 26,55,8.39,18,0.766,-1.973
27,The tutorial is beginner friendly and clearly written. Sample 27,104,4.83,20,0.423,-1.306
28,The research manuscript presents sophisticated theoretical arguments. Sample 28,122,7.06,13,0.995,2.199
29,The tutorial is beginner friendly and clearly written. Sample 29,284,5.76,8,0.225,-0.295
30,The research manuscript presents sophisticated theoretical arguments. Sample 30,137,6.44,1,0.071,2.049
31,The document contains moderately complex vocabulary. Sample 31,54,8.03,11,0.071,-1.096
32,The story is engaging and suitable for young readers. Sample 32,268,4.57,5,0.723,4.059
33,The research manuscript presents sophisticated theoretical arguments. Sample 33,262,4.71,16,0.807,-1.477
34,This passage is easy to read and understand. Sample 34,240,5.27,14,0.467,2.833
35,The story is engaging and suitable for young readers. Sample 35,70,3.8,11,0.801,-2.126
36,The document contains moderately complex vocabulary. Sample 36,117,6.18,5,0.422,-0.772
37,The document contains moderately complex vocabulary. Sample 37,58,5.72,18,0.098,2.217
38,The research manuscript presents sophisticated theoretical arguments. Sample 38,27,8.34,8,0.166,0.885
